,Station,Latitude,Longitude,Station Description,Overall CRAM Score,CRAM Color,AmmoniaN,As,CSCI,Ca,Channel Alteration,Chloride,Cr,Cu,Dissolved Oxygen,Fluoride,H20,Hardness,Instream Cover,NitrateNitriteNO3,OrthoPhosphateP,Sediment Deposition,Specific Conductivity,Sulfate,TKN,TSS,Temperature,TotalPhosphorusPO4,Zn,pH,CSCI Color,H20 Color,Cluster Group,Year,SHAPE
0,901M14118,33.609813,-117.627392,Trabuco Creek 1.75 mi u/s Oso,76.0,Yellow,0.1,,0.959976217,126.0,20.0,110.0,,,10.05,0.31,60.0,360.0,13.0,16.0,0.036,17.0,1024.0,180.0,0.1,5.0,18.88,0.2,,7.76,Blue,,3.0,2015.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.627392, 'y': 33.609813}"
1,901M14124,33.43522,-117.625517,M02 d/s Calle de Los Molinos,33.0,Red,0.1,,0.371328496,372.0,1.0,980.0,,,13.3,0.87,12.0,2140.0,1.0,3.0,0.048,19.0,6319.0,2300.0,0.96,6.0,20.59,0.18,,8.13,Red,Red,7.0,2015.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.625517, 'y': 33.43522}"
2,901M14126,33.547493,-117.722306,Aliso Creek 1/3 mi d/s Alicia Pkwy,71.0,Yellow,2.18,,0.640765396680217,256.3,16.0,439.7,,,8.29,0.84,18.0,1182.3,8.0,1.06,0.29,8.0,3434.0,1041.4,1.72,2.8,19.43,,,7.85,Orange,Red,7.0,2016.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.722306, 'y': 33.547493}"
3,901M14134,33.592319,-117.632839,Tijeras Creek just upstream of Trabuco Creek confluence,75.0,Yellow,0.05,,0.672688287940838,130.25,13.0,178.7,,,9.85,0.5,44.0,436.1,7.0,0.05,0.05,10.0,1394.0,185.32,0.617,8.7,19.96,,,7.95,Orange,Yellow,2.0,2016.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.632839, 'y': 33.592319}"
4,901M14137,33.495302,-117.714877,Salt Creek u/s Camino Del Avion (SC-MB location),59.0,Orange,0.03,,0.406585915791714,390.21,13.0,891.2,,,12.7,0.9,57.5,1678.3,10.0,,0.57,8.0,5458.0,1326.2,0.495,1.5,19.74,0.74,,7.64,Red,,8.0,2017.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.714877, 'y': 33.495302}"
5,901M14138,33.576881,-117.640006,Trabuco Creek between Crown Valley & Oso,79.0,Yellow,0.03,,0.833921811002079,113.19,19.0,105.95,,,13.71,0.41,46.25,386.6,13.0,,0.02,10.0,1165.0,210.7,0.4,3.2,18.87,0.076,,7.73,Yellow,Yellow,4.0,2017.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.640006, 'y': 33.576881}"
6,901M14141,33.521712,-117.622155,L01 d/s Antonio,58.0,Orange,0.01,,0.801493131,316.0,16.0,73.3,,,6.22,0.363,45.0,1120.0,4.0,0.01,0.0118,4.0,2309.0,624.0,0.665,,17.92,0.152,,7.37,Yellow,Yellow,3.0,2018.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.622155, 'y': 33.521712}"
7,901M14142,33.621308,-117.68977,Aliso Creek d/s Heroes Park,80.0,Yellow,0.0756,,0.567116568,190.0,15.0,246.0,,,11.67,0.461,27.5,702.0,11.0,0.01,0.0163,13.0,1943.0,485.0,1.4,,21.39,0.151,,8.33,Red,Orange,6.0,2018.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.68977, 'y': 33.621308}"
8,901M14145,33.48819,-117.666822,L01 d/s L02 confluence,44.0,Orange,0.03,,0.571506396,184.0,3.0,208.0,,,8.9,0.249,33.75,713.0,5.0,0.05,0.02,13.0,2000.0,561.0,0.418,1.95,20.34,0.0451,,8.13,Red,Orange,4.0,2019.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.666822, 'y': 33.48819}"
9,901M14149,33.567546,-117.748123,J02 Wood Canyon 1 mi d/s of Cyn View Park,73.0,Yellow,0.03,,0.620657239,114.0,15.0,171.0,,,8.59,0.345,13.75,449.0,7.0,0.608,0.181,9.0,1215.0,208.0,0.092,1.12,19.45,0.205,,8.33,Orange,Red,5.0,2019.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.748123, 'y': 33.567546}"
10,901M14150,33.62336,-117.623864,L02 1.25 mi d/s Santa Margarita Pkwy,77.0,Yellow,0.0283,,0.79486410274321,105.0,15.0,44.9,,,8.22,0.272,35.0,354.0,15.0,3.428046,0.01,17.0,895.0,182.0,0.26,1.05,20.08,0.06868995802389409,,8.6,Yellow,Yellow,1.0,2020.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.623864, 'y': 33.62336}"
11,901M14153,33.480725,-117.677845,L01 0.5 mi u/s Stonehill,46.0,Orange,0.0219,,0.688330284624549,184.0,3.0,215.0,,,10.61,0.436,46.25,730.0,5.0,2.2720770000000003,0.01,10.0,2207.0,618.0,0.42,0.81,18.46,0.06041036486922828,,8.12,Orange,Yellow,4.0,2020.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.677845, 'y': 33.480725}"
12,AC-CCR,33.511925,-117.746294,Aliso Creek at Country Club Road,,,0.1,3.55,0.724252146,,6.0,,0.75,1.75,9.8185,0.73,,1087.5,9.5,3.5300000000000002,0.14500000000000002,13.5,,960.0,0.74,10.5,20.42,0.645,4.0,7.775,Orange,,5.0,2010.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.746294, 'y': 33.511925}"
